wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_J02_045436_2242_XI_44N171W,B01_009938_2256_XI_45N170W_J02_045436_2242_XI_44N171W,530355.85392,2659772.7992,790.23409252948,0,0,0.00547890970483422
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_J04_046359_2241_XI_44N171W,B01_009938_2256_XI_45N170W_J04_046359_2241_XI_44N171W,529916.756,2659180.31776,663.611136349611,0,0,0.119156047701836
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_J15_050763_2242_XI_44N171W,B01_009938_2256_XI_45N170W_J15_050763_2242_XI_44N171W,529838.56048,2659781.82176,697.390131092843,0,0,0.0104281064122915
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_J16_051119_2239_XI_43N170W,B01_009938_2256_XI_45N170W_J16_051119_2239_XI_43N170W,571110.75744,2589490.06432,1011.88375597042,70,0.0691779066389582,0.332522630691528
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_J18_051897_2242_XI_44N171W,B01_009938_2256_XI_45N170W_J18_051897_2242_XI_44N171W,530031.04176,2660672.04768,749.855375168013,0,0,0.00987076759338379
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_J21_052820_2241_XI_44N171W,B01_009938_2256_XI_45N170W_J21_052820_2241_XI_44N171W,542067.1368,2597234.42832,155.867965725446,0,0,0.0190218146890402
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009991_1783_XI_01S172W_B09_013037_1806_XN_00N172W,B01_009991_1783_XI_01S172W_B09_013037_1806_XN_00N172W,461422.76625,25489.45375,488.890245231843,0,0,0.18362583220005
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009991_1783_XI_01S172W_B09_013248_1808_XN_00N172W,B01_009991_1783_XI_01S172W_B09_013248_1808_XN_00N172W,442402.06875,12004.27375,59.9418251177621,17,0.283608314671795,0.209632769227028
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009991_1783_XI_01S172W_B17_016360_1822_XN_02N172W,B01_009991_1783_XI_01S172W_B17_016360_1822_XN_02N172W,444856.095,33622.57,365.4166138074,117,0.320182486452757,0.317213714122772
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009991_1783_XI_01S172W_B19_016993_1822_XI_02N172W,B01_009991_1783_XI_01S172W_B19_016993_1822_XI_02N172W,444263.19375,33603.95875,337.262619730725,0,0,0.0828935876488686
