impact_id,lon,lat,category,n_ctx,ProductId,UTCstart
28,-109.213,-13.995,junk,37,F14_041122_1652_XN_14S109W,2015-05-05T17:35:20.548
28,-109.213,-13.995,junk,37,F18_042757_1652_XN_14S109W,2015-09-10T03:18:38.598
28,-109.213,-13.995,junk,37,J01_045012_1652_XI_14S109W,2016-03-03T19:53:55.899
28,-109.213,-13.995,junk,37,J02_045645_1653_XI_14S109W,2016-04-22T03:31:19.709
28,-109.213,-13.995,junk,37,J05_046568_1653_XI_14S109W,2016-07-03T01:43:59.332
28,-109.213,-13.995,junk,37,J07_047491_1662_XN_13S109W,2016-09-12T23:56:11.195
28,-109.213,-13.995,junk,37,J11_049271_1653_XI_14S109W,2017-01-29T17:07:40.337
28,-109.213,-13.995,junk,37,J13_049904_1653_XI_14S109W,2017-03-20T00:47:25.075
28,-109.213,-13.995,junk,37,J15_050616_1653_XI_14S109W,2017-05-14T12:26:30.797
29,-114.811,7.495,good,7,P16_007352_1856_XN_05N114W,2008-02-20T08:09:47.887
29,-114.811,7.495,good,7,P17_007497_1865_XN_06N114W,2008-03-02T15:23:43.177
29,-114.811,7.495,good,7,B20_017360_1895_XI_09N115W,2010-04-10T04:53:45.903
29,-114.811,7.495,good,7,B21_017927_1875_XI_07N114W,2010-05-24T09:16:53.782
29,-114.811,7.495,good,7,G16_024586_1857_XI_05N114W,2011-10-25T06:20:25.209
29,-114.811,7.495,good,7,G19_025786_1857_XI_05N114W,2012-01-26T18:27:19.712
29,-114.811,7.495,good,7,F21_044023_1875_XN_07N114W,2015-12-17T18:48:46.209
30,-88.535,12.332,good,7,P18_007997_1935_XN_13N088W,2008-04-10T14:39:46.101
30,-88.535,12.332,good,7,B20_017570_1913_XN_11N088W,2010-04-26T13:38:29.323
30,-88.535,12.332,good,7,G01_018493_1924_XI_12N088W,2010-07-07T11:47:35.729
30,-88.535,12.332,good,7,F01_036123_1936_XN_13N088W,2014-04-11T05:57:25.148
30,-88.535,12.332,good,7,F02_036611_1932_XN_13N088W,2014-05-19T06:32:15.349
30,-88.535,12.332,good,7,J01_045143_1924_XN_12N088W,2016-03-14T00:58:07.756
30,-88.535,12.332,good,7,J06_047055_1921_XN_12N088W,2016-08-10T00:38:56.082
31,-174.498,40.341,good,23,B16_016017_2231_XI_43N174W,2009-12-26T13:31:35.227
31,-174.498,40.341,good,23,B17_016439_2230_XN_43N175W,2010-01-28T10:41:57.239
31,-174.498,40.341,good,23,B18_016650_2206_XN_40N174W,2010-02-13T21:16:36.998
31,-174.498,40.341,good,23,B22_018140_2231_XI_43N174W,2010-06-09T23:47:33.789
31,-174.498,40.341,good,23,G01_018707_2193_XI_39N174W,2010-07-24T04:07:24.596
31,-174.498,40.341,good,23,G04_019630_2231_XI_43N174W,2010-10-04T02:16:03.314
31,-174.498,40.341,good,23,G05_020052_2206_XI_40N174W,2010-11-05T23:24:54.222
31,-174.498,40.341,good,23,G16_024588_2231_XI_43N174W,2011-10-25T10:16:24.153
31,-174.498,40.341,good,23,G22_026711_2231_XI_43N174W,2012-04-07T20:29:20.427
31,-174.498,40.341,good,23,D03_028399_2231_XI_43N174W,2012-08-17T08:55:31.007
31,-174.498,40.341,good,23,D07_029955_2231_XI_43N174W,2012-12-16T14:50:58.464
31,-174.498,40.341,good,23,D16_033436_2231_XI_43N174W,2013-09-13T21:02:48.266
31,-174.498,40.341,good,23,D20_035137_2231_XI_43N174W,2014-01-24T10:13:05.766
31,-174.498,40.341,good,23,D21_035427_2205_XN_40N174W,2014-02-16T00:33:44.522
31,-174.498,40.341,good,23,F01_036126_2228_XN_42N174W,2014-04-11T11:42:52.436
31,-174.498,40.341,good,23,F02_036403_2231_XI_43N174W,2014-05-03T01:40:52.118
31,-174.498,40.341,good,23,F07_038447_2231_XI_43N174W,2014-10-09T07:56:16.167
31,-174.498,40.341,good,23,F16_042113_2231_XI_43N174W,2015-07-21T23:13:59.752
31,-174.498,40.341,good,23,F21_043814_2231_XI_43N174W,2015-12-01T12:10:55.866
